País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Montenegro,MNE,EU,,,,660000000.0,859000000.0,792000000.0,765000000.0,926000000.0,860000000.0,929000000.0,959000000.0,947000000.0,978000000.0,1110000000.0,1224000000.0
Mongolia,MNG,AS,205000000.0,203000000.0,261000000.0,349000000.0,272000000.0,253000000.0,288000000.0,197000000.0,215000000.0,236000000.0,257000000.0,279000000.0,379000000.0,462000000.0,526000000.0
Mozambique,MOZ,AF,96000000.0,138000000.0,145000000.0,182000000.0,213000000.0,217000000.0,135000000.0,171000000.0,224000000.0,228000000.0,225000000.0,202000000.0,114000000.0,164000000.0,331000000.0
Mauritania,MRT,AF,,,,,,,,,50000000.0,50000000.0,42000000.0,31000000.0,33000000.0,24000000.0,6000000.0
Mauritius,MUS,AF,1156000000.0,1189000000.0,1302000000.0,1663000000.0,1823000000.0,1390000000.0,1585000000.0,1808000000.0,1778000000.0,1593000000.0,1719000000.0,1680000000.0,1824000000.0,2005000000.0,2161000000.0
Malawi,MWI,AF,75000000.0,48000000.0,45000000.0,43000000.0,43000000.0,46000000.0,45000000.0,36000000.0,35000000.0,33000000.0,36000000.0,39000000.0,30000000.0,35000000.0,55000000.0
Malaysia,MYS,AS,9183000000.0,10389000000.0,12280000000.0,17948000000.0,18553000000.0,17231000000.0,19619000000.0,21338000000.0,21711000000.0,23283000000.0,24469000000.0,19194000000.0,19682000000.0,20311000000.0,21775000000.0
Namibia,NAM,AF,426000000.0,362000000.0,474000000.0,541000000.0,485000000.0,507000000.0,471000000.0,516000000.0,416000000.0,357000000.0,552000000.0,540000000.0,295000000.0,449000000.0,488000000.0
New Caledonia,NCL,OC,,,,,267000000.0,236000000.0,226000000.0,285000000.0,288000000.0,287000000.0,287000000.0,246000000.0,248000000.0,,
Niger,NER,AF,32299999.2370605,43900001.5258789,39000000.0,44000000.0,86000000.0,69000000.0,105500000.0,54000000.0,51000000.0,59000000.0,100000000.0,80000000.0,84000000.0,91000000.0,114000000.0
Nigeria,NGA,AF,49000000.0,139000000.0,209000000.0,337000000.0,958000000.0,791000000.0,736000000.0,688000000.0,638000000.0,616000000.0,605000000.0,461000000.0,1088000000.0,2615000000.0,1977000000.0
