Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kiribati,KIR,,,,,,,,,,,,2299999.95231628,3299999.95231628,3299999.95231628,3900000.09536743,4300000.19073486,4900000.09536743,4900000.09536743,3400000.09536743,3200000.04768372,2000000,2799999.95231628,4099999.90463257,3400000.09536743,3200000.04768372,29999.9993294477
St. Kitts and Nevis,KNA,63000000,68000000,72000000,71000000,69000000,58000000,62000000,57000000,75000000,103000000,121000000,132000000,125000000,110000000,83000000,90000000,94000000,95000000,101000000,343000000,317000000,332000000,352000000,366000000,370000000,117000000
"Korea, Rep.",KOR,5150000000,4880000000,4731000000,6908000000,6841000000,6834000000,6382000000,5932000000,5355000000,6065000000,5798000000,5717000000,6103000000,9735000000,9773000000,10263000000,12362000000,13273000000,14392000000,17460000000,14798000000,16886000000,13368000000,18567000000,20867000000,10528000000
Kuwait,KWT,121000000,184000000,188000000,207000000,92000000,98000000,106000000,117000000,118000000,178000000,165000000,205000000,223000000,257000000,355000000,289000000,320000000,426000000,297000000,369000000,500000000,600000000,313000000,458000000,700000000,397000000
Lao PDR,LAO,51000000,62000000,58000000,95000000,82000000,114000000,104000000,107000000,74000000,119000000,139000000,158000000,189000000,276000000,268000000,382000000,406000000,451000000,596000000,642000000,724000000,716000000,648000000,811000000,935000000,213000000
Lebanon,LBN,,,,,,,,4284000000,6374000000,5411000000,5532000000,4981000000,5216000000,5819000000,6774000000,7861000000,6545000000,6836000000,6492000000,6523000000,6857000000,7044000000,7610000000,8400000000,8593000000,2353000000
St. Lucia,LCA,230000000,237000000,253000000,283000000,263000000,281000000,233000000,210000000,282000000,326000000,382000000,294000000,302000000,311000000,296000000,309000000,321000000,337000000,354000000,778000000,810000000,776000000,875000000,963000000,1064000000,340000000
Sri Lanka,LKA,226000000,166000000,209000000,230000000,273000000,248000000,213000000,363000000,441000000,513000000,429000000,410000000,385000000,342000000,350000000,576000000,830000000,1039000000,1715000000,2431000000,2981000000,3518000000,3925000000,4381000000,3607000000,682000000
Lesotho,LSO,27000000,32000000,32000000,24000000,23000000,18000000,16000000,14000000,21000000,26000000,27000000,29000000,31000000,30000000,30000000,23000000,24000000,22000000,17000000,16000000,34000000,48000000,23000000,24000000,21000000,5000000
Lithuania,LTU,77000000,316000000,360000000,460000000,550000000,391000000,383000000,505000000,638000000,776000000,920000000,1038000000,1154000000,1248000000,972000000,958000000,1321000000,1317000000,1374000000,1383000000,1153000000,1210000000,1325000000,1504000000,1492000000,470000000
Luxembourg,LUX,1695000000,1640000000,1639000000,1634000000,1697000000,1686000000,1780000000,2358000000,2890000000,3617000000,3521000000,3510000000,3978000000,4471000000,4159000000,4145000000,4861000000,4901000000,5036000000,5363000000,5603000000,5140000000,5086000000,5176000000,5177000000,4189000000
Latvia,LVA,20000000,215000000,192000000,182000000,118000000,131000000,119000000,161000000,222000000,267000000,341000000,480000000,671000000,801000000,724000000,639000000,771000000,744000000,865000000,953000000,895000000,899000000,951000000,1057000000,1016000000,430000000
"Macao SAR, China",MAC,,,,,,,,4205000000,5061000000,7206000000,6924000000,8176000000,10870000000,13400000000,14879000000,22276000000,30595000000,36085000000,43223000000,42847000000,31101000000,30632000000,36080000000,40876000000,40591000000,9360000000
