Sigla,País,Ano,Region,IncomeGroup,Continente,Cultural Demand,Cultural Resources,Geographic Dispersion,Natural Resources,Natural Demand,Non Leisure Resources,Non Leisure Demand,Openness to Tourism,Prioritization of Tourism,Air Transport Infrastructure,Ground and Port Infrastructure,T&T Employment Multiplier,T&T GDP Multiplier,T&T Government Expenditure - % of Government Budget,T&T High-Wage Jobs -  % of Employment in High Wage Sectors,Domestic T&T spending - % of Internal T&T Spending,T&T industry Share of GDP - % of total GDP,T&T industry GDP
CHL,Chile,2019,Latin America & Caribbean,High income,SA,2.5964294,2.115774,3.2857144,3.1865626,2.2621235,3.6677145,2.5011056,4.2125645,4.8726151,3.7166381,3.3774831,4.3917428,5.1504012,3.5197222,5.1466782,80.4960266,3.16978,9401.259
CHL,Chile,2021,Latin America & Caribbean,High income,SA,2.0460251,2.1698396,3.2857144,3.2177354,2.4179871,3.393111,2.1708835,4.2125645,5.2602502,3.3461448,3.5249232,4.7018249,5.5123984,3.530344,5.5104119,94.6880241,1.8842758,4724.366
CHL,Chile,2024,Latin America & Caribbean,High income,SA,1.9191457,2.1881198,3.3383999,3.2000197,2.2725162,3.2695779,1.4683334,4.7107102,5.3280202,3.5400613,3.4580884,4.6966433,5.5629017,3.5410244,5.5104119,86.140698,2.9671125,8995.502
CHN,China,2019,East Asia & Pacific,Upper middle income,AS,6.7275274,6.9318818,5.1190476,6.2740916,3.3704581,6.196332,7.0,3.8652786,4.7584107,5.0565974,4.0301499,3.9361825,6.7227521,3.4255438,3.3499405,85.7690299,2.785737,382287.3
CHN,China,2021,East Asia & Pacific,Upper middle income,AS,5.5288817,6.6322204,5.1190476,6.1886078,2.9430391,6.199375,6.7724576,3.918142,4.4734604,5.3009232,4.6715935,4.006699,7.0,3.4481719,3.7176097,88.0255505,1.0721933,157864.99
CHN,China,2024,East Asia & Pacific,Upper middle income,AS,5.3446084,6.5861521,5.1212128,6.1952605,2.9763025,5.7897528,5.0718051,3.8913993,3.8358641,5.2646453,4.5716163,3.8773971,7.0,3.4710086,3.7176097,90.9256121,0.7795265,139510.986
CIV,Cote d'Ivoire,2019,Sub-Saharan Africa,Lower middle income,AF,1.0329782,1.3332445,3.7512953,3.1149456,1.0130042,1.2746736,1.0160222,2.8663215,1.8103848,2.5727647,2.7933953,2.5890831,2.7899677,1.898452,1.7449465,87.032137,4.757365,2167.403
CIV,Cote d'Ivoire,2021,Sub-Saharan Africa,Lower middle income,AF,1.0348094,1.3587023,3.7512953,3.1213406,1.0418571,1.2754603,1.0191691,2.8575109,1.8133707,2.5467803,3.0664519,3.1722752,3.1082212,1.9074097,1.7506851,89.34511,1.9028661,838.531435
CIV,Cote d'Ivoire,2024,Sub-Saharan Africa,Lower middle income,AF,1.0371832,1.3592958,4.3981063,3.1417872,1.0548487,1.2591517,1.0175028,2.8906867,2.3088903,2.5351285,3.2623173,3.7796219,3.4442052,1.9164525,1.7506851,93.355772,1.9213656,1345.55924
CMR,Cameroon,2019,Sub-Saharan Africa,Lower middle income,AF,1.0657289,1.3664322,3.6507936,3.2896033,1.0524899,1.3748378,1.0418631,1.6881187,2.6787053,2.1761097,2.5356224,3.1888119,3.2195875,2.095216,4.7149783,76.6792736,3.301267,1278.543
CMR,Cameroon,2021,Sub-Saharan Africa,Lower middle income,AF,1.0665937,1.3666484,3.6507936,3.3122657,1.1618734,1.4079506,1.0401042,1.6969292,2.6469034,2.0219218,2.6368345,3.9258257,3.6610341,2.1052722,4.9169714,86.5581826,1.5451226,612.5246
CMR,Cameroon,2024,Sub-Saharan Africa,Lower middle income,AF,1.0758641,1.368966,4.026182,3.3700042,1.206329,1.42904,1.034572,1.7258471,2.5136237,2.2193293,2.748918,4.5693396,4.0233728,2.1154218,4.9169714,73.3745666,2.4978778,1123.72327
COL,Colombia,2019,Latin America & Caribbean,Upper middle income,SA,3.5316212,3.262072,3.0526316,5.0898781,2.0119755,3.9455545,3.7041859,4.4067232,3.8202369,3.437297,2.5462447,2.8909868,4.1334416,2.2312588,4.500809,57.657212,1.92212,6518.768
COL,Colombia,2021,Latin America & Caribbean,Upper middle income,SA,2.5163886,3.4415971,3.0526316,5.2042764,2.5136512,3.5526155,2.6245917,4.426547,4.0048872,3.3402271,2.6950574,3.1578035,4.2943599,2.233429,4.3808602,55.1072526,0.774931,2081.52056
COL,Colombia,2024,Latin America & Caribbean,Upper middle income,SA,2.3682608,3.7878985,3.6943966,5.2008754,2.5141189,3.3978825,2.4675137,4.4440605,4.0496613,3.7027963,2.8044537,2.1426622,3.1132103,2.2356242,4.3808602,34.1270656,2.2680829,7464.26725
CRI,Costa Rica,2019,Latin America & Caribbean,High income,SA,1.9092028,1.4023007,4.25,3.8170193,3.6295191,2.1171767,2.4124297,4.1062564,5.1952377,3.301026,2.8590886,3.1600141,3.6281953,4.81438,3.1515464,35.1903706,5.070607,3038.012
CRI,Costa Rica,2021,Latin America & Caribbean,High income,SA,1.4731226,1.4599473,4.25,3.8255578,3.265662,1.8340607,2.0257408,4.0996485,5.6657112,3.1759002,3.2692596,3.7108025,3.7506597,4.8457699,3.8394522,45.2222742,1.9546146,1166.00192
CRI,Costa Rica,2024,Latin America & Caribbean,High income,SA,1.4889102,1.4638942,4.3496858,4.1685874,3.2751457,1.8749849,2.1894376,4.0833526,5.6790642,3.4831433,3.1309733,3.5271267,3.3805286,4.871441,3.8394522,32.2722435,3.8183193,2485.296
CYP,Cyprus,2019,Europe & Central Asia,High income,EU,1.5775173,1.4693793,4.0263157,1.4741138,1.8994032,2.2830936,1.3778674,4.7127469,6.3686595,5.1587603,3.8241359,4.958765,4.6025178,6.656437,2.0904189,8.6480076,6.858777,1669.994
CYP,Cyprus,2021,Europe & Central Asia,High income,EU,1.7403002,1.5600751,4.0263157,1.7252546,2.0879847,2.9050775,1.3693324,4.7700707,6.0824891,4.0862937,3.736439,5.1663143,4.7514692,6.6924574,2.9328466,19.3993899,1.1293,270.901978
CYP,Cyprus,2024,Europe & Central Asia,High income,EU,1.7598487,1.6149622,4.0214571,1.736608,2.07107,2.3433563,1.1870482,4.784031,5.3417364,4.9460702,3.5858843,3.1153217,3.6906487,6.7287262,2.9328466,10.9805239,5.517393,1509.20033
CZE,Czechia,2019,Europe & Central Asia,High income,EU,1.4118303,2.0362909,3.3909092,1.7957146,1.3200311,2.3611045,1.6729088,5.0079198,4.2999415,4.09617,5.1382113,1.6472163,4.04734,3.2434546,1.1018871,42.8001382,2.668901,6544.42
CZE,Czechia,2021,Europe & Central Asia,High income,EU,1.369673,2.1507516,3.3909092,2.0094897,1.3888181,2.2991872,1.4679616,5.0586356,5.0034911,3.5518527,5.0365202,1.387026,3.5023236,3.2587434,1.1192485,55.9224809,1.6786467,4081.70938
CZE,Czechia,2024,Europe & Central Asia,High income,EU,1.3015789,2.2587281,2.7524861,2.0105642,1.2956853,2.2540196,1.2897638,5.0594089,5.1290298,3.6772457,5.010339,1.0262886,3.2862072,3.2741133,1.1192485,70.9742315,1.6678668,4862.413
DEU,Germany,2019,Europe & Central Asia,High income,EU,7.0,5.7833333,4.3225808,3.2274184,3.0282183,5.5500161,6.253455,5.0443136,4.938405,5.7996109,5.717495,1.1506396,3.8821562,3.183652,1.8107674,85.1862887,3.458865,138987.8
DEU,Germany,2021,Europe & Central Asia,High income,EU,7.0,6.1666667,4.3225808,3.4377952,4.0811804,5.1125423,4.4927481,5.0575295,4.8104149,5.0920712,5.4018627,1.0971257,4.0155408,2.6792856,1.8512059,88.3564416,1.9246279,72999.38
DEU,Germany,2024,Europe & Central Asia,High income,EU,7.0,6.2666667,4.626481,3.4679413,4.1283646,5.2674039,5.0019912,5.0454535,5.1887543,5.3504094,5.3413231,1.1780959,4.2425606,3.4399808,1.8512059,90.8878409,3.2510247,130040.009
DNK,Denmark,2019,Europe & Central Asia,High income,EU,2.145715,1.7280954,3.5555556,2.5906047,2.3461404,3.6093176,1.5183052,5.1237254,4.5874451,5.4060516,5.4385736,5.1629843,5.3386786,2.4365866,2.8369785,57.3832323,2.367719,8221.427
DNK,Denmark,2021,Europe & Central Asia,High income,EU,2.2313168,1.9161625,3.5555556,2.7082133,2.9354129,3.4960098,1.5020483,5.1678333,4.2627989,4.2109656,5.5400522,4.4795982,4.7028252,2.1752578,2.9135749,69.6166594,1.6796448,5829.88358
DNK,Denmark,2024,Europe & Central Asia,High income,EU,2.1676941,2.0252569,3.5893685,2.7627164,3.1271729,3.3702388,1.422448,5.1619403,3.7659608,4.7568237,5.5253592,3.8360465,4.0559879,2.401,2.9135749,60.4993576,2.141825,8547.482
DOM,Dominican Republic,2019,Latin America & Caribbean,Upper middle income,SA,1.4102347,1.2775587,3.3285713,2.2022244,1.5794889,1.7998038,2.5199262,4.1691375,6.1166149,3.9741788,3.1624827,5.0725226,4.9671204,7.0,3.9119655,24.5145198,5.414271,4381.377
DOM,Dominican Republic,2021,Latin America & Caribbean,Upper middle income,SA,1.3114567,1.4695309,3.3285713,2.2166847,1.6518986,1.6160851,1.7850514,4.2021772,6.1365236,3.8060809,3.3878797,5.3515104,5.0649765,7.0,4.5895002,28.131353,2.268736,1682.49166
DOM,Dominican Republic,2024,Latin America & Caribbean,Upper middle income,SA,1.3098503,1.4691292,3.1359947,2.2492868,1.6713619,1.6276536,1.7856052,4.1981792,5.834264,4.3016744,3.2683552,5.0305034,5.0174515,7.0,4.5895002,26.2340053,5.0386558,5615.938
DZA,Algeria,2019,Middle East & North Africa,Upper middle income,AF,1.157912,2.051978,2.33333,2.5214982,1.1072497,1.8554984,1.0712143,2.4674501,3.3094665,2.7558336,2.7375306,2.7537547,2.9216419,1.6833772,5.6055088,97.6419509,3.201,5544.058
DZA,Algeria,2021,Middle East & North Africa,Upper middle income,AF,1.1356985,2.0964246,2.33333,2.4578412,1.2058421,1.9063865,1.0620218,2.480666,3.4365298,2.5971836,2.9155701,3.8596999,3.6193702,1.6868757,5.5777659,99.1983029,1.2307619,1615.47244
DZA,Algeria,2024,Middle East & North Africa,Upper middle income,AF,1.1509325,2.2002331,2.5785697,2.4742144,1.2288901,1.9364233,1.0828536,2.4940991,3.6921789,2.6600664,2.8014241,4.7572358,4.1627977,1.6901068,5.5777659,97.84774,2.1154385,4024.57476
ECU,Ecuador,2019,Latin America & Caribbean,Upper middle income,SA,1.3491784,1.8956279,3.0459771,4.0819772,1.4071437,2.200433,1.1969406,3.7727811,4.5454242,2.8696468,2.9906551,2.1271837,2.757624,1.7120254,2.540527,30.7699019,2.756982,2929.418
ECU,Ecuador,2021,Latin America & Caribbean,Upper middle income,SA,1.3260464,2.0565116,3.0459771,4.1479986,1.7300263,2.1562532,1.191107,3.7868436,4.3894008,2.8963762,2.9371047,2.0764556,2.5720568,1.7175622,2.7189542,41.0085707,0.9352117,933.659434
ECU,Ecuador,2024,Latin America & Caribbean,Upper middle income,SA,1.3443574,2.1110893,3.1770944,4.1914213,1.7032915,2.1821453,1.2675309,3.6518679,4.4500385,3.0127114,2.8413423,1.8040875,2.2736507,1.568773,2.7189542,34.0877397,2.2137826,2450.15478
