País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Malta,MLT,EU,1428000.0,1484000.0,1521000.0,1723000.0,1832000.0,1608000.0,1815000.0,1916000.0,2007000.0,2013000.0,2162000.0,2383000.0,2592000.0,2944000.0,3232000.0
Myanmar,MMR,AS,657000.0,660000.0,630000.0,716000.0,731000.0,763000.0,792000.0,816000.0,1059000.0,2044000.0,3081000.0,4681000.0,2907000.0,3443000.0,3551000.0
Montenegro,MNE,EU,188000.0,272000.0,378000.0,984000.0,1031000.0,1044000.0,1088000.0,1201000.0,1264000.0,1324000.0,1350000.0,1560000.0,1662000.0,1877000.0,2077000.0
Mongolia,MNG,AS,305000.0,345000.0,408000.0,455000.0,469000.0,465000.0,557000.0,627000.0,624000.0,515000.0,506000.0,467000.0,471000.0,543000.0,598000.0
Northern Mariana Islands,MNP,OC,536000.0,507000.0,436000.0,389000.0,397000.0,354000.0,379000.0,341000.0,401000.0,439000.0,460000.0,479000.0,531000.0,660000.0,518000.0
Mozambique,MOZ,AF,711000.0,954000.0,1095000.0,1259000.0,1439000.0,1711000.0,1836000.0,2013000.0,2206000.0,1970000.0,1751000.0,1634000.0,1715000.0,1514000.0,2870000.0
Mauritius,MUS,AF,739000.0,782000.0,807000.0,933000.0,970000.0,890000.0,956000.0,983000.0,984000.0,1015000.0,1065000.0,1174000.0,1307000.0,1371000.0,1431000.0
Malawi,MWI,AF,427000.0,438000.0,638000.0,735000.0,742000.0,755000.0,746000.0,767000.0,770000.0,795000.0,819000.0,805000.0,849000.0,837000.0,871000.0
Malaysia,MYS,AS,15703000.0,16431000.0,17547000.0,20973000.0,22052000.0,23646000.0,24577000.0,24714000.0,25033000.0,25715000.0,27437000.0,25721000.0,26757000.0,25948000.0,25832000.0
Namibia,NAM,AF,986000.0,856000.0,961000.0,1048000.0,1079000.0,1100000.0,1114000.0,1163000.0,1245000.0,1327000.0,1429000.0,1488000.0,1551000.0,1581000.0,1639000.0
New Caledonia,NCL,OC,100000.0,101000.0,100000.0,103000.0,104000.0,99000.0,99000.0,112000.0,112000.0,108000.0,107000.0,114000.0,116000.0,121000.0,120000.0
Niger,NER,AF,57000.0,58000.0,60000.0,48000.0,73000.0,66000.0,74000.0,82000.0,94000.0,123000.0,135000.0,135000.0,152000.0,164000.0,157000.0
Nigeria,NGA,AF,2646000.0,2778000.0,3056000.0,5239000.0,5820000.0,6053000.0,6113000.0,3765000.0,4673000.0,4038000.0,4803000.0,6017000.0,5265000.0,,
Nicaragua,NIC,SA,735000.0,804000.0,891000.0,978000.0,1011000.0,1010000.0,1071000.0,1122000.0,1233000.0,1273000.0,1390000.0,1456000.0,1596000.0,1958000.0,1412000.0
Netherlands,NLD,EU,9646000.0,10012000.0,10739000.0,11008000.0,10104000.0,9921000.0,10883000.0,11300000.0,11680000.0,12783000.0,13925000.0,15007000.0,15828000.0,17924000.0,18780000.0
Norway,NOR,EU,3628000.0,3824000.0,4070000.0,4377000.0,4347000.0,4346000.0,4767000.0,4963000.0,4538000.0,4778000.0,4855000.0,5361000.0,5960000.0,6252000.0,5688000.0
Nepal,NPL,AS,385000.0,375000.0,384000.0,527000.0,500000.0,510000.0,603000.0,736000.0,803000.0,798000.0,790000.0,539000.0,753000.0,940000.0,1173000.0
New Zealand,NZL,OC,2334000.0,2366000.0,2409000.0,2455000.0,2483000.0,2473000.0,2530000.0,2617000.0,2574000.0,2710000.0,2854000.0,3129000.0,3494000.0,3723000.0,3858000.0
Oman,OMN,AS,1407000.0,1101000.0,1385000.0,1360000.0,1540000.0,1584000.0,1500000.0,1393000.0,1714000.0,1923000.0,2225000.0,2634000.0,3207000.0,3178000.0,3242000.0
Pakistan,PAK,AS,648000.0,798000.0,898000.0,840000.0,823000.0,855000.0,907000.0,1161000.0,966000.0,,,,,,
Panama,PAN,SA,1004000.0,1070000.0,1215000.0,1428000.0,1575000.0,1562000.0,1726000.0,2004000.0,2086000.0,2202000.0,2305000.0,2553000.0,2379000.0,2517000.0,2487000.0
Peru,PER,SA,1650000.0,1938000.0,2227000.0,2451000.0,2581000.0,2681000.0,2948000.0,3299000.0,3642000.0,4010000.0,4062000.0,4381000.0,4718000.0,4992000.0,5384000.0
Philippines,PHL,AS,2291000.0,2623000.0,2843000.0,3092000.0,3139000.0,3017000.0,3520000.0,3917000.0,4273000.0,4681000.0,4833000.0,5361000.0,5967000.0,6621000.0,7168000.0
Palau,PLW,OC,89000.0,81000.0,82000.0,88000.0,81000.0,71000.0,85000.0,111000.0,120000.0,108000.0,140000.0,162000.0,138000.0,123000.0,106000.0
Papua New Guinea,PNG,OC,,,,,120000.0,126000.0,146000.0,165000.0,175000.0,182000.0,191000.0,199000.0,198000.0,182000.0,195000.0
Poland,POL,EU,61918000.0,64606000.0,65115000.0,66208000.0,59935000.0,53840000.0,58340000.0,60745000.0,67390000.0,72310000.0,73750000.0,77743000.0,80476000.0,83804000.0,85946000.0
Puerto Rico (US),PRI,SA,4889000.0,5073000.0,5022000.0,5062000.0,5213000.0,4415000.0,4379000.0,4214000.0,4197000.0,4210000.0,4456000.0,5051000.0,5003000.0,4927000.0,4260000.0
